module	package	prod_classname	prod_status	test_classname	test_status	test_java_path	prod_java_path
core	org.apache.lucene.store	DefaultIOContext	MISSING				core/src/java/org/apache/lucene/store/DefaultIOContext.java
core	org.apache.lucene.store	MMapDirectory	IMPLEMENTED	TestMMapDirectory	MISSING	core/src/test/org/apache/lucene/store/TestMMapDirectory.java	core/src/java/org/apache/lucene/store/MMapDirectory.java
core	org.apache.lucene.store	BaseDirectory	IMPLEMENTED				core/src/java/org/apache/lucene/store/BaseDirectory.java
core	org.apache.lucene.store	SimpleFSLockFactory	IMPLEMENTED	TestSimpleFSLockFactory	MISSING	core/src/test/org/apache/lucene/store/TestSimpleFSLockFactory.java	core/src/java/org/apache/lucene/store/SimpleFSLockFactory.java
core	org.apache.lucene.store	ByteBuffersIndexOutput	IMPLEMENTED				core/src/java/org/apache/lucene/store/ByteBuffersIndexOutput.java
core	org.apache.lucene.store	PreloadHint	IMPLEMENTED				core/src/java/org/apache/lucene/store/PreloadHint.java
core	org.apache.lucene.store	ByteBuffersDataInput	IMPLEMENTED	TestByteBuffersDataInput	MISSING	core/src/test/org/apache/lucene/store/TestByteBuffersDataInput.java	core/src/java/org/apache/lucene/store/ByteBuffersDataInput.java
core	org.apache.lucene.store	BufferedIndexInput	IMPLEMENTED	TestBufferedIndexInput	MISSING	core/src/test/org/apache/lucene/store/TestBufferedIndexInput.java	core/src/java/org/apache/lucene/store/BufferedIndexInput.java
core	org.apache.lucene.store	IOContext	IMPLEMENTED	TestIOContext	MISSING	core/src/test/org/apache/lucene/store/TestIOContext.java	core/src/java/org/apache/lucene/store/IOContext.java
core	org.apache.lucene.store	Directory	IMPLEMENTED	TestDirectory	MISSING	core/src/test/org/apache/lucene/store/TestDirectory.java	core/src/java/org/apache/lucene/store/Directory.java
core	org.apache.lucene.store	OutputStreamIndexOutput	IMPLEMENTED	TestOutputStreamIndexOutput	MISSING	core/src/test/org/apache/lucene/store/TestOutputStreamIndexOutput.java	core/src/java/org/apache/lucene/store/OutputStreamIndexOutput.java
core	org.apache.lucene.store	VerifyingLockFactory	IMPLEMENTED				core/src/java/org/apache/lucene/store/VerifyingLockFactory.java
core	org.apache.lucene.store	FileDataHint	IMPLEMENTED				core/src/java/org/apache/lucene/store/FileDataHint.java
