module	kind	java_path	package	classname	fqdn	java_loc	go_basename_guess	go_match_path	status	go_loc	go_stub_score
core	prod	core/src/java/org/apache/lucene/search/similarities/BasicStats.java	org.apache.lucene.search.similarities	BasicStats	org.apache.lucene.search.similarities.BasicStats	119	basic_stats	search/dfr_similarity.go	IMPLEMENTED	414	0
core	prod	core/src/java/org/apache/lucene/search/similarities/MultiSimilarity.java	org.apache.lucene.search.similarities	MultiSimilarity	org.apache.lucene.search.similarities.MultiSimilarity	81	multi_similarity	search/multi_similarity.go	IMPLEMENTED	227	0
core	prod	core/src/java/org/apache/lucene/search/similarities/Similarity.java	org.apache.lucene.search.similarities	Similarity	org.apache.lucene.search.similarities.Similarity	271	similarity	search/similarity.go	IMPLEMENTED	48	1
core	prod	core/src/java/org/apache/lucene/search/similarities/TFIDFSimilarity.java	org.apache.lucene.search.similarities	TFIDFSimilarity	org.apache.lucene.search.similarities.TFIDFSimilarity	507	tfidf_similarity		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/LMSimilarity.java	org.apache.lucene.search.similarities	LMSimilarity	org.apache.lucene.search.similarities.LMSimilarity	160	lm_similarity		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/Normalization.java	org.apache.lucene.search.similarities	Normalization	org.apache.lucene.search.similarities.Normalization	86	normalization	search/dfr_similarity.go	IMPLEMENTED	414	0
core	prod	core/src/java/org/apache/lucene/search/similarities/RawTFSimilarity.java	org.apache.lucene.search.similarities	RawTFSimilarity	org.apache.lucene.search.similarities.RawTFSimilarity	45	raw_tf_similarity	search/raw_tf_similarity.go	IMPLEMENTED	87	0
core	prod	core/src/java/org/apache/lucene/search/similarities/AfterEffectL.java	org.apache.lucene.search.similarities	AfterEffectL	org.apache.lucene.search.similarities.AfterEffectL	48	after_effect_l		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/SimilarityBase.java	org.apache.lucene.search.similarities	SimilarityBase	org.apache.lucene.search.similarities.SimilarityBase	197	similarity_base	search/similarity_base.go	STUB	24	2
core	prod	core/src/java/org/apache/lucene/search/similarities/NormalizationZ.java	org.apache.lucene.search.similarities	NormalizationZ	org.apache.lucene.search.similarities.NormalizationZ	79	normalization_z		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/LMDirichletSimilarity.java	org.apache.lucene.search.similarities	LMDirichletSimilarity	org.apache.lucene.search.similarities.LMDirichletSimilarity	137	lm_dirichlet_similarity	search/lm_dirichlet_similarity.go	IMPLEMENTED	199	0
core	prod	core/src/java/org/apache/lucene/search/similarities/DistributionLL.java	org.apache.lucene.search.similarities	DistributionLL	org.apache.lucene.search.similarities.DistributionLL	41	distribution_ll		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/BasicModelIne.java	org.apache.lucene.search.similarities	BasicModelIne	org.apache.lucene.search.similarities.BasicModelIne	71	basic_model_ine		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/AxiomaticF1LOG.java	org.apache.lucene.search.similarities	AxiomaticF1LOG	org.apache.lucene.search.similarities.AxiomaticF1LOG	114	axiomatic_f1_log		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/AxiomaticF3EXP.java	org.apache.lucene.search.similarities	AxiomaticF3EXP	org.apache.lucene.search.similarities.AxiomaticF3EXP	117	axiomatic_f3_exp		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/AxiomaticF3LOG.java	org.apache.lucene.search.similarities	AxiomaticF3LOG	org.apache.lucene.search.similarities.AxiomaticF3LOG	106	axiomatic_f3_log		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/IBSimilarity.java	org.apache.lucene.search.similarities	IBSimilarity	org.apache.lucene.search.similarities.IBSimilarity	175	ib_similarity	search/ib_similarity.go	IMPLEMENTED	379	0
