analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/CatalanStemmer.java	org.tartarus.snowball.ext	CatalanStemmer	org.tartarus.snowball.ext.CatalanStemmer	869
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/NepaliStemmer.java	org.tartarus.snowball.ext	NepaliStemmer	org.tartarus.snowball.ext.NepaliStemmer	304
analysis/common	prod	analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java	org.apache.lucene.collation	CollationKeyAnalyzer	org.apache.lucene.collation.CollationKeyAnalyzer	81
analysis/common	prod	analysis/common/src/java/org/apache/lucene/collation/CollationAttributeFactory.java	org.apache.lucene.collation	CollationAttributeFactory	org.apache.lucene.collation.CollationAttributeFactory	84
analysis/common	prod	analysis/common/src/java/org/apache/lucene/collation/tokenattributes/CollatedTermAttributeImpl.java	org.apache.lucene.collation.tokenattributes	CollatedTermAttributeImpl	org.apache.lucene.collation.tokenattributes.CollatedTermAttributeImpl	49
analysis/common	prod	analysis/common/src/java/org/apache/lucene/collation/CollationDocValuesField.java	org.apache.lucene.collation	CollationDocValuesField	org.apache.lucene.collation.CollationDocValuesField	66
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniStemmer.java	org.apache.lucene.analysis.ckb	SoraniStemmer	org.apache.lucene.analysis.ckb.SoraniStemmer	101
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniNormalizationFilter.java	org.apache.lucene.analysis.ckb	SoraniNormalizationFilter	org.apache.lucene.analysis.ckb.SoraniNormalizationFilter	42
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniStemFilter.java	org.apache.lucene.analysis.ckb	SoraniStemFilter	org.apache.lucene.analysis.ckb.SoraniStemFilter	56
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniNormalizationFilterFactory.java	org.apache.lucene.analysis.ckb	SoraniNormalizationFilterFactory	org.apache.lucene.analysis.ckb.SoraniNormalizationFilterFactory	64
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniAnalyzer.java	org.apache.lucene.analysis.ckb	SoraniAnalyzer	org.apache.lucene.analysis.ckb.SoraniAnalyzer	131
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniStemFilterFactory.java	org.apache.lucene.analysis.ckb	SoraniStemFilterFactory	org.apache.lucene.analysis.ckb.SoraniStemFilterFactory	60
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniNormalizer.java	org.apache.lucene.analysis.ckb	SoraniNormalizer	org.apache.lucene.analysis.ckb.SoraniNormalizer	129
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ConcatenateGraphFilterFactory.java	org.apache.lucene.analysis.miscellaneous	ConcatenateGraphFilterFactory	org.apache.lucene.analysis.miscellaneous.ConcatenateGraphFilterFactory	95
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/SetKeywordMarkerFilter.java	org.apache.lucene.analysis.miscellaneous	SetKeywordMarkerFilter	org.apache.lucene.analysis.miscellaneous.SetKeywordMarkerFilter	50
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/LimitTokenPositionFilter.java	org.apache.lucene.analysis.miscellaneous	LimitTokenPositionFilter	org.apache.lucene.analysis.miscellaneous.LimitTokenPositionFilter	104
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/RemoveDuplicatesTokenFilterFactory.java	org.apache.lucene.analysis.miscellaneous	RemoveDuplicatesTokenFilterFactory	org.apache.lucene.analysis.miscellaneous.RemoveDuplicatesTokenFilterFactory	59
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/TruncateTokenFilter.java	org.apache.lucene.analysis.miscellaneous	TruncateTokenFilter	org.apache.lucene.analysis.miscellaneous.TruncateTokenFilter	56
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/WordDelimiterFilterFactory.java	org.apache.lucene.analysis.miscellaneous	WordDelimiterFilterFactory	org.apache.lucene.analysis.miscellaneous.WordDelimiterFilterFactory	239
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/LengthFilter.java	org.apache.lucene.analysis.miscellaneous	LengthFilter	org.apache.lucene.analysis.miscellaneous.LengthFilter	61
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/TrimFilter.java	org.apache.lucene.analysis.miscellaneous	TrimFilter	org.apache.lucene.analysis.miscellaneous.TrimFilter	67
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/LengthFilterFactory.java	org.apache.lucene.analysis.miscellaneous	LengthFilterFactory	org.apache.lucene.analysis.miscellaneous.LengthFilterFactory	67
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/FingerprintFilterFactory.java	org.apache.lucene.analysis.miscellaneous	FingerprintFilterFactory	org.apache.lucene.analysis.miscellaneous.FingerprintFilterFactory	66
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/KeywordMarkerFilterFactory.java	org.apache.lucene.analysis.miscellaneous	KeywordMarkerFilterFactory	org.apache.lucene.analysis.miscellaneous.KeywordMarkerFilterFactory	98
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/LimitTokenCountFilter.java	org.apache.lucene.analysis.miscellaneous	LimitTokenCountFilter	org.apache.lucene.analysis.miscellaneous.LimitTokenCountFilter	97
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/FixBrokenOffsetsFilter.java	org.apache.lucene.analysis.miscellaneous	FixBrokenOffsetsFilter	org.apache.lucene.analysis.miscellaneous.FixBrokenOffsetsFilter	74
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/WordDelimiterFilter.java	org.apache.lucene.analysis.miscellaneous	WordDelimiterFilter	org.apache.lucene.analysis.miscellaneous.WordDelimiterFilter	673
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/TypeAsSynonymFilter.java	org.apache.lucene.analysis.miscellaneous	TypeAsSynonymFilter	org.apache.lucene.analysis.miscellaneous.TypeAsSynonymFilter	104
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/KeywordRepeatFilter.java	org.apache.lucene.analysis.miscellaneous	KeywordRepeatFilter	org.apache.lucene.analysis.miscellaneous.KeywordRepeatFilter	65
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/LimitTokenCountAnalyzer.java	org.apache.lucene.analysis.miscellaneous	LimitTokenCountAnalyzer	org.apache.lucene.analysis.miscellaneous.LimitTokenCountAnalyzer	82
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/EmptyTokenStream.java	org.apache.lucene.analysis.miscellaneous	EmptyTokenStream	org.apache.lucene.analysis.miscellaneous.EmptyTokenStream	28
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/KeywordMarkerFilter.java	org.apache.lucene.analysis.miscellaneous	KeywordMarkerFilter	org.apache.lucene.analysis.miscellaneous.KeywordMarkerFilter	55
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/FingerprintFilter.java	org.apache.lucene.analysis.miscellaneous	FingerprintFilter	org.apache.lucene.analysis.miscellaneous.FingerprintFilter	201
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ProtectedTermFilter.java	org.apache.lucene.analysis.miscellaneous	ProtectedTermFilter	org.apache.lucene.analysis.miscellaneous.ProtectedTermFilter	55
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ProtectedTermFilterFactory.java	org.apache.lucene.analysis.miscellaneous	ProtectedTermFilterFactory	org.apache.lucene.analysis.miscellaneous.ProtectedTermFilterFactory	185
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/HyphenatedWordsFilterFactory.java	org.apache.lucene.analysis.miscellaneous	HyphenatedWordsFilterFactory	org.apache.lucene.analysis.miscellaneous.HyphenatedWordsFilterFactory	59
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ScandinavianNormalizer.java	org.apache.lucene.analysis.miscellaneous	ScandinavianNormalizer	org.apache.lucene.analysis.miscellaneous.ScandinavianNormalizer	137
analysis/common	prod	analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/CodepointCountFilterFactory.java	org.apache.lucene.analysis.miscellaneous	CodepointCountFilterFactory	org.apache.lucene.analysis.miscellaneous.CodepointCountFilterFactory	66
